id,personal_id
0,5
1,5
2,1
3,3
4,0
5,2
6,3
7,0
8,3
9,2
10,3
11,5
12,3
13,2
14,1
15,0
16,0
17,1
18,5
19,0
20,3
21,0
22,4
23,0
24,2
25,4
26,0
27,1
28,0
29,4
30,0
31,1
32,0
33,1
34,3
35,3
36,1
37,5
38,4
39,0
40,4
41,1
42,4
43,5
44,1
45,1
46,3
47,3
48,4
49,1
50,0
51,0
52,2
53,4
54,1
55,1
56,0
57,2
58,2
59,0
60,1
61,3
62,0
63,3
64,1
65,0
66,5
67,1
68,1
69,0
70,3
71,3
72,5
73,3
74,5
75,2
76,2
77,3
78,4
79,4
80,4
81,3
82,2
83,2
84,5
85,3
86,1
87,3
88,5
89,0
90,4
91,2
92,4
93,3
94,1
95,0
96,3
97,0
98,1
99,5
100,3
101,3
102,4
103,2
104,3
105,0
106,3
107,2
108,5
109,0
110,1
111,1
112,4
113,0
114,2
115,3
116,2
117,5
118,4
119,5
